acidicpigment	abilities	Acidic Pigment	Poison Attacks of this Pokemon can hit Steel and Poison type Opponents super effective, if Incoon has full Hp
aerodynamicheavyweight	abilities	Aerodynamic Heavyweight	Attacks that calculate damage using the user's body weight gain +1 priority if the user is at full HP
aftershock	abilities	Aftershock	Every time this Pokémon uses a damaging Ground-type move, it releases a secondary shockwave at the end of the turn, dealing fixed damage equal to 10% of the target's maximum HP to all opponents
alienspores	abilities	Alien Spores	If it Gets Hit by a Physical Move in Psycic Terrain, the Attacker falls asleep + Is Immune to Ground Type Attacks
ambushspeed	abilities	Ambush Speed	On its first turn after Switching in its next attack has +1 priority, halfed damage, and flinches guaranteed
ampedup	abilities	Amped Up	Raises Sp.Atk when it paralyses Target
antienergy	abilities	Antienergy	Mega-Pokemon recieve 50% more Damage
anxious	abilities	Anxious	If it would get KOed this round (pre-calculated ), it uses its attack with +3 priority
apexinstinct	abilities	Apex Instinct	Lands a guaranteed Critical Hit if Enemy has full Hp
aquaticveil	abilities	Aquatic Veil	Damage recieved in Rain is ⅔×
armored	abilities	Armored	Hitting this Pokemon with an Attack will do max. 25% of max. Hp as Damage but it loses this ability instantly after hit
athenasdecree	megaAbilities	Athenas Decree	Boosts Sp.Atk by 2 stages when defeating enemy and turns flying type attacks into Psycic type
audiorecord	abilities	Audio Record	When this Pokémon switches into the battlefield, it automatically gains a 50% damage reduction against the exact move that the opponent used in the previous turn
auraaye	abilities	Aura Aye	Accuracy-Changes and Evasion-Changes are Ignored and all Moves are 10% more Accurate
barbedchassis	abilities	Barbed Chassis	Contact Moves against it deal 20% of this pokemons Defense(of Sp.Def if Contact move is Special) Stat as damage back to the enemy
blacktar	abilities	Black Tar	Lowers Opponents Speed stat by 1 if hit by contact move + moves if 50 basepower or lower wont damage it at all
blastproof	megaAbilities	Blastproof	Gets no Recoil damage
blazingfur	abilities	Blazing Fur	If hit by physical ice or grass type attacks damage is halfed and attacker gets burned
